"","MGHBC6_5","MGHBC6_cro","MGHBC8_5","MGHBC8_cro","MGHBC11_5","MGHBC11_cro","MGHBC12_5","MGHBC12_cro","MGHBC13_5","MGHBC13_cro","MGHBC14_5","MGHBC14_cro","MGHBC16_5","MGHBC16_cro","MGHBC18_5","MGHBC18_cro","MGHBC21_5","MGHBC21_cro","MGHBC27_5","MGHBC27_cro","MGHBC28_5","MGHBC28_cro","MGHBC33_5","MGHBC33_cro","MGHBC38_5","MGHBC38_cro","MGHBC41_5","MGHBC41_cro","MGHBC44_5","MGHBC44_cro","MGHBC51_5","MGHBC51_cro","MGHBC52_5","MGHBC52_cro","MGHBC53_5","MGHBC53_cro","MGHBC55_5","MGHBC55_cro","MGHBC56_5","MGHBC56_cro","MGHBC57_5","MGHBC57_cro","MGHBC58_5","MGHBC58_cro","MGHBC60_5","MGHBC60_cro","MGHBC63_5","MGHBC63_cro","MGHBC64_5","MGHBC64_cro","MGHBC17ec_5","MGHBC17ec_cro","MGHBC5_5","MGHBC5_cro"
"POS_A","54640","71786","70775.00","71074.00","81828","94452","78405.00","88110.00","63748.00","87631.00","83532.00","78166.00","69751.00","68145.00","76893.00","74506.00","40846.00","31344.00","42703.00","50644.00","53342.00","63743.00","48414","35543","84018","83286","93430","63822","74760.00","75884.00","52597.00","54533.00","58163.00","66786.00","52432.00","50985.00","57165.00","53112.00","52905.00","56203.00","55349.00","57215.00","57625.00","49798.00","55594.00","47209.00","54100.00","43952.00","55397.00","38851.00","32903.00","46463.00","34236","33543"
"POS_B","8031","10145","9097.00","8921.00","10064","11690","9671.00","11198.00","8048.00","11127.00","10555.00","9924.00","8800.00","8740.00","10161.00","9662.00","5410.00","3960.00","5538.00","6376.00","6821.00","8221.00","6513","4565","10788","10829","12075","8371","9496.00","9801.00","15760.00","16458.00","17985.00","20259.00","15626.00","15279.00","17651.00","15946.00","16271.00","17650.00","16603.00","17382.00","18035.00","15303.00","16776.00","14431.00","16002.00","13539.00","16188.00","12323.00","10758.00","14513.00","10487","10725"
"POS_C","4195","5202","4710.00","4617.00","5052","5877","4697.00","5549.00","3922.00","5644.00","5320.00","5112.00","4338.00","4466.00","7024.00","6576.00","3646.00","2795.00","3935.00","4282.00","4792.00","5897.00","4443","3201","8122","7610","8533","5861","7037.00","6950.00","5051.00","5250.00","5431.00","6279.00","4841.00","4634.00","5481.00","4878.00","5056.00","5630.00","5042.00","5475.00","5463.00","4805.00","5222.00","4524.00","5054.00","4172.00","4924.00","3849.00","3333.00","4409.00","3264","3488"
"POS_D","472","540","492.00","459.00","501","614","545.00","589.00","412.00","607.00","571.00","518.00","476.00","472.00","576.00","526.00","292.00","220.00","346.00","362.00","344.00","413.00","339","244","589","604","627","464","525.00","542.00","1082.00","1099.00","1170.00","1348.00","1035.00","1011.00","1175.00","1056.00","1096.00","1185.00","1088.00","1178.00","1235.00","997.00","1133.00","949.00","1060.00","886.00","1096.00","745.00","614.00","950.00","661","704"
"POS_E","150","193","211.00","187.00","201","232","202.00","239.00","167.00","234.00","200.00","188.00","174.00","185.00","239.00","202.00","101.00","67.00","99.00","142.00","125.00","121.00","142","93","224","189","233","166","182.00","190.00","284.00","258.00","297.00","300.00","228.00","247.00","267.00","205.00","257.00","284.00","267.00","299.00","284.00","233.00","276.00","227.00","262.00","182.00","245.00","200.00","154.00","215.00","181","169"
"POS_F","55","82","70.00","41.00","87","87","78.00","76.00","81.00","110.00","74.00","55.00","64.00","66.00","113.00","124.00","49.00","44.00","59.00","75.00","68.00","80.00","77","45","83","75","121","73","86.00","88.00","79.00","88.00","84.00","85.00","79.00","69.00","82.00","79.00","79.00","68.00","86.00","103.00","97.00","61.00","77.00","80.00","66.00","68.00","71.00","63.00","46.00","55.00","47","50"
"NEG_A","2","5","1.00","1.00","1","4","1.00","1.00","1.00","1.00","1.00","1.00","2.00","1.00","24.00","20.00","4.00","1.00","1.00","2.00","6.00","5.00","7","5","5","1","3","4","12.00","4.00","2.00","3.00","4.00","7.00","1.00","1.00","2.00","1.00","12.00","8.00","3.00","2.00","2.00","2.00","2.00","2.00","4.00","2.00","6.00","1.00","3.00","1.00","3","1"
"NEG_B","3","3","3.00","1.00","3","1","2.00","1.00","2.00","1.00","1.00","1.00","1.00","3.00","7.00","10.00","5.00","1.00","6.00","1.00","4.00","5.00","8","5","6","1","12","1","10.00","6.00","4.00","3.00","9.00","4.00","4.00","6.00","6.00","7.00","8.00","7.00","4.00","4.00","5.00","8.00","3.00","3.00","6.00","1.00","5.00","3.00","2.00","1.00","3","4"
"NEG_C","4","5","1.00","2.00","2","4","1.00","1.00","1.00","1.00","1.00","1.00","2.00","2.00","7.00","11.00","4.00","5.00","3.00","1.00","6.00","5.00","9","1","5","1","10","5","11.00","6.00","5.00","4.00","8.00","6.00","6.00","3.00","3.00","6.00","4.00","6.00","7.00","6.00","6.00","4.00","6.00","11.00","4.00","2.00","10.00","4.00","2.00","3.00","4","3"
"NEG_D","3","1","1.00","1.00","2","1","1.00","1.00","1.00","1.00","1.00","1.00","1.00","2.00","6.00","6.00","1.00","2.00","3.00","1.00","2.00","2.00","3","1","4","1","4","4","5.00","5.00","2.00","3.00","2.00","5.00","4.00","3.00","4.00","5.00","5.00","1.00","3.00","6.00","2.00","1.00","3.00","5.00","4.00","2.00","3.00","3.00","2.00","1.00","2","4"
"NEG_E","1","5","1.00","1.00","1","1","1.00","2.00","2.00","2.00","2.00","1.00","2.00","1.00","116.00","90.00","1.00","2.00","1.00","3.00","2.00","3.00","2","1","4","1","1","6","8.00","12.00","1.00","1.00","2.00","1.00","1.00","1.00","1.00","2.00","63.00","54.00","1.00","3.00","6.00","1.00","5.00","1.00","2.00","3.00","6.00","2.00","1.00","1.00","2","1"
"NEG_F","1","4","2.00","1.00","1","2","1.00","4.00","1.00","3.00","2.00","2.00","1.00","2.00","9.00","1.00","3.00","1.00","4.00","1.00","4.00","2.00","6","6","6","3","7","12","11.00","8.00","6.00","1.00","4.00","8.00","7.00","4.00","2.00","9.00","2.00","6.00","7.00","6.00","5.00","6.00","4.00","1.00","5.00","1.00","17.00","8.00","1.00","6.00","5","3"
"wzi_1","8","5","5.00","2.00","4","12","1.00","5.00","4.00","5.00","2.00","1.00","7.00","4.00","7.00","13.00","1.00","2.00","4.00","8.00","7.00","5.00","9","6","18","2","21","16","14.00","29.00","9.00","4.00","7.00","14.00","7.00","4.00","9.00","3.00","4.00","6.00","5.00","8.00","7.00","11.00","9.00","1.00","9.00","3.00","17.00","2.00","7.00","6.00","5","7"
"wzy_1","1","6","1.00","1.00","1","1","7.00","3.00","1.00","3.00","1.00","1.00","6.00","4.00","28.00","24.00","2.00","1.00","4.00","4.00","5.00","2.00","3","3","6","4","4","1","12.00","6.00","4.00","1.00","2.00","3.00","1.00","1.00","2.00","3.00","10.00","13.00","2.00","2.00","4.00","4.00","1.00","2.00","1.00","6.00","6.00","6.00","2.00","6.00","1","2"
"wzi_2","5","6","6.00","3.00","4","11","4.00","7.00","4.00","12.00","5.00","1.00","9.00","11.00","13.00","12.00","6.00","2.00","4.00","10.00","5.00","5.00","11","5","13","6","16","7","13.00","18.00","9.00","1.00","5.00","10.00","5.00","10.00","7.00","8.00","8.00","8.00","6.00","7.00","9.00","8.00","7.00","3.00","9.00","3.00","20.00","9.00","8.00","6.00","5","4"
"wzy_2","29","36","18.00","8.00","16","24","24.00","20.00","27.00","62.00","14.00","25.00","23.00","28.00","70.00","52.00","35.00","25.00","40.00","41.00","46.00","47.00","37","27","45","25","59","32","49.00","58.00","34.00","29.00","26.00","36.00","29.00","28.00","26.00","34.00","39.00","21.00","31.00","39.00","30.00","33.00","36.00","32.00","49.00","13.00","36.00","16.00","14.00","18.00","30","21"
"CRE2_KPC_0.95","6","7","3.00","3.00","4","7","1.00","4.00","4.00","1.00","3.00","1.00","7.00","4.00","7.00","11.00","3.00","4.00","4.00","7.00","6.00","7.00","13","3","14","11","20","8","6.00","18.00","7.00","8.00","17.00","12.00","10.00","5.00","9.00","7.00","6.00","14.00","14.00","15.00","18.00","11.00","12.00","5.00","11.00","8.00","11.00","6.00","3.00","5.00","10","1"
"CRE2_NDM_0.95","2","7","1.00","2.00","1","5","2.00","4.00","1.00","4.00","2.00","1.00","4.00","5.00","10.00","8.00","3.00","1.00","5.00","4.00","6.00","6.00","7","9","2","4","9","6","9.00","8.00","6.00","4.00","14.00","4.00","4.00","4.00","5.00","10.00","9.00","6.00","7.00","11.00","5.00","3.00","10.00","6.00","8.00","2.00","8.00","8.00","2.00","3.00","2","5"
"CRE2_OXA48_0.95","3","8","2.00","1.00","1","6","3.00","1.00","1.00","1.00","1.00","1.00","2.00","5.00","6.00","6.00","4.00","2.00","2.00","2.00","1.00","3.00","4","2","2","4","2","8","4.00","3.00","7.00","1.00","7.00","3.00","4.00","6.00","5.00","3.00","8.00","1.00","4.00","1.00","7.00","7.00","2.00","1.00","4.00","3.00","8.00","6.00","3.00","3.00","2","4"
"CRE2_CTXM15_0.95","1","3","1.00","1.00","3","3","1.00","2.00","1.00","1.00","1.00","2.00","1.00","2.00","114533.00","91404.00","1.00","1.00","8.00","3.00","1.00","5.00","3","7","8","2","5","4","4.00","9.00","1.00","5.00","5.00","2.00","5.00","2.00","1.00","4.00","78161.00","76732.00","4.00","10.00","4.00","5.00","3.00","2.00","3.00","1.00","5.00","3.00","2.00","4.00","2","1"
"CRE2_IMP_1_0.95","3","7","1.00","2.00","1","2","1.00","5.00","1.00","2.00","2.00","1.00","3.00","3.00","22.00","22.00","5.00","1.00","2.00","5.00","3.00","1.00","6","3","7","1","9","3","15.00","8.00","1.00","3.00","3.00","5.00","1.00","2.00","2.00","1.00","15.00","15.00","6.00","5.00","2.00","7.00","2.00","1.00","1.00","1.00","9.00","3.00","3.00","1.00","1","6"
"CRE2_IMP_3_8_0.95","18","28","11.00","9.00","18","23","27.00","32.00","24.00","68.00","18.00","20.00","38.00","31.00","64.00","49.00","29.00","20.00","32.00","53.00","38.00","40.00","35","26","32","23","44","27","36.00","41.00","22.00","16.00","20.00","27.00","15.00","25.00","29.00","20.00","15.00","22.00","17.00","23.00","24.00","25.00","23.00","27.00","30.00","10.00","27.00","12.00","3.00","15.00","22","19"
"CRE2_IMP_2_4_0.95","8","12","9.00","1.00","4","7","2.00","2.00","1.00","1.00","1.00","1.00","7.00","3.00","7.00","11.00","5.00","1.00","6.00","2.00","4.00","2.00","4","7","9","2","16","4","12.00","9.00","6.00","2.00","7.00","13.00","11.00","5.00","9.00","8.00","6.00","9.00","7.00","12.00","5.00","4.00","8.00","2.00","11.00","3.00","13.00","8.00","2.00","3.00","6","2"
"CRE2_IMP_5_0.95","18","29","12.00","17.00","15","34","22.00","22.00","26.00","73.00","20.00","22.00","24.00","34.00","45.00","44.00","18.00","14.00","33.00","34.00","39.00","30.00","27","20","26","12","49","22","42.00","31.00","23.00","25.00","14.00","14.00","10.00","16.00","15.00","26.00","12.00","18.00","19.00","24.00","11.00","26.00","28.00","17.00","21.00","10.00","29.00","12.00","13.00","12.00","14","17"
"CRE2_IMP_6_0.95","1","10","2.00","1.00","1","6","1.00","4.00","1.00","3.00","1.00","1.00","2.00","1.00","34.00","23.00","2.00","3.00","3.00","4.00","2.00","2.00","3","4","7","2","7","2","12.00","17.00","4.00","2.00","7.00","4.00","2.00","4.00","3.00","2.00","20.00","26.00","1.00","5.00","7.00","1.00","1.00","1.00","4.00","2.00","5.00","8.00","2.00","3.00","2","1"
"CRE2_IMP_7_0.95","2","4","2.00","3.00","1","3","1.00","2.00","1.00","1.00","1.00","1.00","1.00","2.00","4.00","4.00","4.00","1.00","5.00","1.00","6.00","6.00","2","5","7","3","8","5","9.00","4.00","7.00","6.00","7.00","11.00","6.00","2.00","1.00","4.00","3.00","3.00","5.00","7.00","6.00","3.00","5.00","3.00","3.00","3.00","9.00","3.00","1.00","4.00","3","5"
"CRE2_VIM_1_0.95","17","37","15.00","7.00","13","33","24.00","20.00","31.00","79.00","17.00","17.00","25.00","41.00","53.00","51.00","36.00","16.00","30.00","42.00","33.00","23.00","37","15","40","16","36","27","39.00","32.00","19.00","21.00","18.00","19.00","14.00","8.00","14.00","8.00","12.00","23.00","14.00","18.00","18.00","26.00","19.00","17.00","16.00","14.00","27.00","10.00","14.00","14.00","11","18"
"CRE2_VIM_2_3_0.95","2","6","1.00","1.00","3","4","3.00","4.00","1.00","1.00","1.00","1.00","1.00","1.00","75.00","63.00","4.00","1.00","2.00","7.00","6.00","3.00","6","1","10","1","10","8","10.00","9.00","7.00","1.00","2.00","5.00","1.00","2.00","3.00","1.00","32.00","36.00","1.00","3.00","3.00","1.00","6.00","3.00","4.00","1.00","3.00","4.00","2.00","6.00","3","3"
"OXA10_0.95","6","2","2.00","3.00","3","5","2.00","2.00","2.00","5.00","2.00","3.00","6.00","4.00","6.00","10.00","6.00","5.00","2.00","9.00","7.00","5.00","8","7","6","3","12","7","15.00","10.00","10.00","3.00","9.00","7.00","6.00","5.00","10.00","8.00","7.00","6.00","6.00","7.00","9.00","7.00","12.00","6.00","11.00","6.00","24.00","7.00","3.00","3.00","8","7"
"EcMero2_C_APECO78_00485_0.95_1","849","1007","2589.00","1032.00","1744","1787","1584.00","1132.00","1012.00","1295.00","890.00","440.00","2033.00","1584.00","1276.00","1163.00","504.00","376.00","823.00","553.00","326.00","221.00","637","512","1042","383","1596","1005","1669.00","1592.00","688.00","219.00","1006.00","646.00","1515.00","663.00","494.00","481.00","690.00","730.00","711.00","586.00","792.00","473.00","703.00","369.00","867.00","307.00","1174.00","474.00","170.00","234.00","652","335"
"EcMero2_C_APECO78_02145_0.92_1","2675","1554","3462.00","634.00","4681","3023","3173.00","1816.00","1978.00","1453.00","1574.00","514.00","4871.00","2797.00","3214.00","3440.00","753.00","442.00","1237.00","538.00","609.00","193.00","1853","775","3180","763","4006","1256","4900.00","4314.00","1485.00","198.00","2668.00","1224.00","2500.00","530.00","2498.00","1039.00","1554.00","1330.00","1825.00","1454.00","1822.00","950.00","1259.00","539.00","1613.00","230.00","3116.00","1360.00","338.00","245.00","1064","622"
"EcMero2_C_APECO78_03920_0.97_1","6276","5476","9024.00","2021.00","11380","10799","8707.00","4839.00","6198.00","4869.00","5238.00","2111.00","11213.00","11055.00","8136.00","8265.00","2826.00","2113.00","3859.00","1703.00","1790.00","513.00","5166","3739","9286","1808","14167","5441","11923.00","10811.00","3687.00","333.00","6938.00","2925.00","4172.00","875.00","3839.00","2742.00","3084.00","2940.00","3445.00","3009.00","4281.00","2150.00","2917.00","934.00","3078.00","565.00","6218.00","3186.00","851.00","580.00","2337","1635"
"EcMero2_C_APECO78_05715_0.97_1","8137","5978","13304.00","2789.00","19236","14439","10047.00","7183.00","9330.00","7183.00","5889.00","2016.00","18823.00","12821.00","9324.00","12174.00","3316.00","2271.00","5402.00","2370.00","2060.00","835.00","5948","3652","10809","3209","17438","7333","25175.00","26879.00","5617.00","560.00","10468.00","4553.00","8583.00","2177.00","8196.00","2830.00","4840.00","4205.00","7246.00","7060.00","6252.00","5141.00","5740.00","1554.00","5743.00","649.00","11012.00","6921.00","1918.00","1279.00","3549","2449"
"EcMero2_C_APECO78_16235_0.95_1","971","656","2286.00","207.00","2428","1358","1649.00","687.00","975.00","542.00","1028.00","302.00","2032.00","1207.00","1073.00","1072.00","513.00","363.00","716.00","215.00","304.00","64.00","658","340","1223","274","2365","690","2592.00","2343.00","540.00","47.00","1024.00","466.00","1118.00","220.00","502.00","245.00","662.00","678.00","749.00","511.00","730.00","320.00","648.00","162.00","441.00","95.00","1017.00","609.00","133.00","90.00","400","207"
"EcMero2_C_APECO78_17535_0.95_1","3435","1872","5189.00","654.00","7057","4285","4980.00","1624.00","3346.00","2203.00","2299.00","556.00","7483.00","4264.00","3779.00","4264.00","930.00","812.00","1464.00","506.00","893.00","135.00","1760","890","4101","563","6309","1561","6359.00","5156.00","2014.00","137.00","3050.00","1062.00","2460.00","317.00","1710.00","831.00","1393.00","1366.00","1956.00","1517.00","2042.00","886.00","1742.00","351.00","1429.00","136.00","3494.00","1667.00","471.00","261.00","1265","618"
"EcMero2_C_APECO78_19825_0.97_1","3651","2186","6238.00","1460.00","8916","6164","5695.00","2762.00","3118.00","2011.00","2875.00","990.00","8443.00","4920.00","4826.00","4636.00","1523.00","1088.00","2398.00","971.00","1367.00","238.00","2421","1256","4920","967","7405","2156","7873.00","6415.00","2908.00","251.00","3734.00","1651.00","3290.00","480.00","2327.00","1439.00","2417.00","2295.00","2684.00","1779.00","2725.00","1284.00","2139.00","725.00","2344.00","372.00","4649.00","1744.00","513.00","310.00","1683","672"
"EcMero2_C_APECO78_20780_0.95_1","1420","938","2370.00","414.00","4501","2377","2507.00","1614.00","1348.00","852.00","1469.00","512.00","3893.00","1853.00","1936.00","1962.00","459.00","281.00","1122.00","382.00","582.00","121.00","683","358","1691","459","3149","760","2321.00","1921.00","1018.00","144.00","1978.00","960.00","2250.00","286.00","700.00","536.00","407.00","434.00","1074.00","630.00","1168.00","621.00","838.00","426.00","1169.00","167.00","1482.00","633.00","196.00","185.00","831","343"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","4374","21169.00","4761.00","17559","29624","7212.00","9432.00","11172.00","9364.00","4686.00","2069.00","21903.00","20087.00","5159.00","7554.00","2170.00","1969.00","2107.00","2697.00","902.00","680.00","2606","2151","5314","2932","8677","5802","12805.00","17262.00","3807.00","765.00","7170.00","4722.00","3199.00","1324.00","2219.00","3413.00","3654.00","4911.00","3102.00","5487.00","2866.00","3116.00","2663.00","1745.00","1330.00","393.00","5253.00","5133.00","1748.00","811.00","2668","3073"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","3280","2826.00","1103.00","8846","12110","2936.00","3049.00","3927.00","4120.00","1496.00","974.00","9193.00","7577.00","2777.00","4279.00","467.00","402.00","701.00","849.00","676.00","353.00","2409","2106","3278","1194","6509","4638","7573.00","8156.00","1150.00","335.00","2300.00","1477.00","2252.00","917.00","1223.00","797.00","685.00","678.00","2093.00","2082.00","1578.00","1226.00","1041.00","550.00","1328.00","227.00","2388.00","1776.00","448.00","340.00","834","920"
"EcMero2_Rup_APECO78_05395_0.92_1","105","867","182.00","576.00","301","1682","195.00","1378.00","152.00","674.00","162.00","327.00","236.00","1223.00","153.00","182.00","91.00","50.00","91.00","406.00","80.00","203.00","118","189","161","249","416","236","375.00","1517.00","136.00","139.00","215.00","721.00","98.00","90.00","178.00","403.00","136.00","138.00","156.00","350.00","121.00","364.00","116.00","257.00","141.00","119.00","303.00","353.00","42.00","156.00","101","390"
"EcMero2_Rup_APECO78_05500_0.97_1","543","1309","539.00","2386.00","1540","6666","684.00","2410.00","415.00","3312.00","525.00","1026.00","861.00","3380.00","456.00","480.00","181.00","114.00","275.00","704.00","156.00","149.00","368","402","545","587","811","598","892.00","1385.00","315.00","123.00","516.00","587.00","368.00","426.00","481.00","727.00","256.00","254.00","454.00","603.00","394.00","572.00","329.00","421.00","320.00","164.00","663.00","394.00","95.00","205.00","194","646"
"EcMero2_Rup_APECO78_09510_0.97_1","305","2288","1195.00","1629.00","510","4265","461.00","4604.00","1352.00","3066.00","559.00","881.00","422.00","2869.00","288.00","288.00","437.00","286.00","273.00","1319.00","163.00","425.00","163","496","267","583","650","658","465.00","2505.00","575.00","209.00","209.00","1870.00","110.00","134.00","158.00","1457.00","224.00","225.00","209.00","558.00","164.00","766.00","216.00","448.00","141.00","205.00","258.00","422.00","82.00","281.00","174","964"
"EcMero2_Rup_APECO78_09705_0.92_1","868","3420","3450.00","2475.00","1355","8495","3782.00","11428.00","1872.00","5843.00","3596.00","3582.00","676.00","4554.00","1216.00","709.00","240.00","188.00","371.00","1718.00","288.00","431.00","923","3340","3079","2345","3279","4579","1237.00","2946.00","562.00","336.00","909.00","5826.00","870.00","280.00","340.00","4434.00","2936.00","3753.00","441.00","1258.00","2402.00","4899.00","3506.00","3262.00","148.00","65.00","1167.00","1625.00","114.00","389.00","756","1539"
"EcMero2_Rup_APECO78_09710_0.92_1","989","4587","4720.00","2958.00","1000","10462","4836.00","14621.00","2395.00","7870.00","5574.00","5330.00","622.00","6019.00","1225.00","589.00","260.00","203.00","355.00","1763.00","343.00","506.00","939","3820","3473","3628","3233","4490","910.00","2531.00","579.00","419.00","915.00","6862.00","851.00","247.00","114.00","5184.00","3039.00","3805.00","340.00","942.00","2766.00","5352.00","3499.00","3550.00","93.00","58.00","975.00","1727.00","107.00","495.00","971","1772"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","879","819.00","824.00","2444","10870","742.00","2217.00","283.00","1285.00","553.00","377.00","969.00","1705.00","625.00","812.00","166.00","120.00","258.00","331.00","293.00","227.00","457","450","878","599","1616","4670","2060.00","2549.00","418.00","157.00","1408.00","1065.00","483.00","266.00","993.00","493.00","496.00","429.00","729.00","1197.00","754.00","789.00","341.00","285.00","354.00","155.00","1174.00","1074.00","110.00","168.00","250","527"
"EcMero2_Rup_APECO78_21920_0.92_1","209","275","329.00","150.00","700","449","459.00","352.00","242.00","253.00","280.00","165.00","655.00","441.00","413.00","489.00","144.00","91.00","135.00","102.00","204.00","83.00","158","85","361","210","274","145","654.00","454.00","250.00","120.00","463.00","302.00","240.00","137.00","381.00","241.00","270.00","270.00","623.00","456.00","327.00","200.00","312.00","182.00","229.00","113.00","404.00","207.00","105.00","119.00","142","107"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","8493","854.00","7256.00","6822","44884","2568.00","18722.00","969.00","20137.00","1544.00","6063.00","2128.00","14691.00","1688.00","1220.00","462.00","345.00","902.00","5796.00","516.00","567.00","1170","1692","2012","4436","1923","2955","2458.00","5918.00","615.00","467.00","1435.00","2511.00","1269.00","3030.00","596.00","3143.00","687.00","535.00","1285.00","1619.00","981.00","3176.00","1013.00","2409.00","699.00","628.00","1629.00","1048.00","184.00","1180.00","539","2566"
