"","MGHBC4_5","MGHBC4_fep","MGHBC15_5","MGHBC15_fep","MGHBC19_5","MGHBC19_fep","MGHBC23_5","MGHBC23_fep","MGHBC25_5","MGHBC25_fep","MGHBC34_5","MGHBC34_fep","MGHBC35_5","MGHBC35_fep","MGHBC29_5","MGHBC29_fep","MGHBC32_5","MGHBC32_fep","MGHBC26_5","MGHBC26_fep","MGHBC47_5","MGHBC47_fep","MGHBC50_5","MGHBC50_fep","MGHBC48_5","MGHBC48_fep","MGHBC61_5","MGHBC61_fep","MGHBC62_5","MGHBC62_fep","MGHBC17kp_5","MGHBC17kp_fep"
"POS_A","77595","67302","74223.00","70651.00","58272","49544","53377","58841","44155","75355","44910.00","10923.00","58576.00","55255.00","83560.00","74207.00","84833","75438","80613","66755","72878.00","80860.00","44267.00","51592.00","50027.00","52622.00","54153.00","57568.00","39417.00","49510.00","56834.00","53861.00"
"POS_B","9536","8469","8663.00","8225.00","7626","6830","7049","7868","14528","9446","5795.00","1477.00","7634.00","6956.00","11131.00","10095.00","11067","9677","10671","9069","10137.00","11073.00","13106.00","15760.00","14918.00","16296.00","16089.00","17213.00","12883.00","15210.00","17209.00","16104.00"
"POS_C","5057","4190","4457.00","4428.00","5357","4752","4790","5513","4707","6857","4075.00","989.00","5319.00","4733.00","7456.00","6874.00","7883","6919","7676","6204","7105.00","7791.00","4065.00","4815.00","4664.00","5072.00","4920.00","5186.00","4026.00","4716.00","5307.00","4878.00"
"POS_D","513","444","458.00","416.00","465","351","424","444","935","552","337.00","81.00","440.00","401.00","568.00","533.00","601","507","601","522","525.00","611.00","932.00","1074.00","1014.00","1042.00","1090.00","1083.00","824.00","972.00","1088.00","1055.00"
"POS_E","189","167","180.00","173.00","152","111","124","151","252","196","157.00","34.00","146.00","152.00","203.00","175.00","214","171","216","162","191.00","192.00","222.00","265.00","261.00","272.00","260.00","267.00","211.00","217.00","291.00","232.00"
"POS_F","70","61","62.00","68.00","65","58","75","72","62","96","80.00","16.00","105.00","98.00","92.00","86.00","100","74","97","80","79.00","91.00","64.00","82.00","79.00","75.00","71.00","70.00","52.00","68.00","61.00","63.00"
"NEG_A","1","2","3.00","11.00","2","2","3","1","17","17","34.00","14.00","11.00","5.00","2.00","5.00","1","1","1","1","4.00","3.00","2.00","5.00","2.00","3.00","3.00","8.00","2.00","1.00","3.00","3.00"
"NEG_B","3","5","4.00","2.00","5","3","4","1","7","3","9.00","2.00","5.00","12.00","9.00","2.00","4","2","7","7","5.00","5.00","5.00","3.00","14.00","8.00","5.00","7.00","3.00","2.00","4.00","4.00"
"NEG_C","9","5","5.00","6.00","10","3","6","3","4","6","6.00","1.00","13.00","13.00","7.00","10.00","8","3","7","7","6.00","8.00","11.00","12.00","16.00","13.00","10.00","3.00","7.00","2.00","5.00","11.00"
"NEG_D","8","1","1.00","3.00","4","2","2","4","5","4","11.00","1.00","11.00","10.00","5.00","3.00","6","2","6","8","7.00","6.00","9.00","6.00","13.00","7.00","1.00","8.00","4.00","2.00","3.00","3.00"
"NEG_E","2","1","21.00","33.00","2","4","1","2","62","112","148.00","31.00","10.00","5.00","1.00","1.00","1","1","5","3","4.00","1.00","5.00","2.00","4.00","4.00","5.00","1.00","2.00","1.00","3.00","1.00"
"NEG_F","5","7","2.00","2.00","9","2","7","1","5","6","14.00","2.00","16.00","22.00","15.00","7.00","7","3","8","6","12.00","9.00","10.00","8.00","5.00","3.00","5.00","9.00","6.00","6.00","6.00","7.00"
"wzi_1","6","6","5.00","3.00","8","2","6","4","8","8","11.00","5.00","11.00","21.00","10.00","12.00","9","5","10","6","11.00","10.00","9.00","10.00","5.00","6.00","4.00","11.00","4.00","1.00","9.00","5.00"
"wzy_1","4","3","10.00","8.00","4","4","3","1","24","20","27.00","10.00","17.00","10.00","5.00","4.00","4","1","5","3","7.00","5.00","7.00","4.00","5.00","1.00","3.00","6.00","2.00","1.00","2.00","2.00"
"wzi_2","12","14","3660.00","4162.00","16","2","10","8","12","10","27.00","11.00","34.00","42.00","24.00","12.00","1724","200","38","25","32.00","17.00","43.00","22.00","19.00","12.00","144.00","65.00","12.00","8.00","17.00","10.00"
"wzy_2","19","16","30.00","26.00","52","51","45","42","31","55","43.00","18.00","80.00","67.00","45.00","40.00","51","46","46","28","43.00","35.00","30.00","47.00","26.00","27.00","23.00","28.00","18.00","18.00","37.00","16.00"
"CRE2_KPC_0.95","1","10","2.00","3.00","6","4","5","7","12","10","14.00","2.00","18.00","16.00","12.00","8.00","11","9","12","4","8.00","10.00","17.00","14.00","70164.00","28667.00","10.00","12.00","3.00","9.00","8.00","8.00"
"CRE2_NDM_0.95","7","8","4.00","3.00","1","1","5","2","4","11","11.00","3.00","11.00","11.00","11.00","8.00","4","2","7","8","8.00","13.00","16.00","7.00","7.00","10.00","5.00","7.00","6.00","3.00","6.00","3.00"
"CRE2_OXA48_0.95","2","3","1.00","10.00","3","2","2","4","8","6","3.00","4.00","2.00","10.00","9.00","5.00","5","3","9","2","6.00","4.00","9.00","6.00","18.00","10.00","4.00","4.00","1.00","2.00","3.00","3.00"
"CRE2_CTXM15_0.95","3","1","119801.00","166543.00","1","1","1","2","96986","90148","114405.00","25085.00","19.00","15.00","4.00","1.00","1","1","2","4","6.00","1.00","6.00","4.00","7.00","1.00","2.00","5.00","2.00","3.00","5.00","4.00"
"CRE2_IMP_1_0.95","2","4","6.00","7.00","2","2","2","1","21","24","46.00","9.00","8.00","10.00","6.00","1.00","1","2","3","1","12.00","3.00","4.00","4.00","1.00","4.00","8.00","5.00","3.00","2.00","9.00","7.00"
"CRE2_IMP_3_8_0.95","13","16","18.00","18.00","28","33","38","24","28","53","39.00","16.00","59.00","86.00","35.00","29.00","40","18","44","29","38.00","27.00","33.00","22.00","15.00","28.00","20.00","16.00","14.00","17.00","22.00","17.00"
"CRE2_IMP_2_4_0.95","5","4","4.00","1.00","2","2","2","1","8","5","9.00","3.00","7.00","8.00","7.00","6.00","4","3","8","4","3.00","8.00","16.00","13.00","18.00","12.00","8.00","4.00","9.00","6.00","5.00","4.00"
"CRE2_IMP_5_0.95","9","15","17.00","24.00","25","21","43","27","14","42","44.00","14.00","73.00","70.00","39.00","33.00","37","24","40","29","17.00","26.00","22.00","23.00","14.00","14.00","23.00","15.00","12.00","11.00","18.00","14.00"
"CRE2_IMP_6_0.95","4","5","4.00","9.00","1","4","4","3","25","20","32.00","11.00","17.00","16.00","4.00","1.00","3","1","2","4","7.00","2.00","4.00","9.00","2.00","8.00","2.00","5.00","6.00","3.00","3.00","4.00"
"CRE2_IMP_7_0.95","5","4","2.00","5.00","5","8","6","1","4","3","13.00","1.00","13.00","17.00","7.00","8.00","5","2","11","5","8.00","13.00","10.00","11.00","17.00","10.00","6.00","5.00","5.00","11.00","4.00","14.00"
"CRE2_VIM_1_0.95","12","20","14.00","20.00","24","30","51","34","11","42","50.00","8.00","79.00","87.00","26.00","37.00","34","20","37","28","19.00","38.00","20.00","17.00","8.00","15.00","14.00","22.00","10.00","11.00","10.00","13.00"
"CRE2_VIM_2_3_0.95","3","2","14.00","24.00","4","2","3","1","30","76","91.00","30.00","15.00","11.00","1.00","6.00","1","1","4","1","7.00","4.00","3.00","5.00","4.00","1.00","3.00","6.00","3.00","2.00","3.00","4.00"
"OXA10_0.95","5","11","2.00","5.00","7","4","6","4","8","13","12.00","2.00","15.00","15.00","14.00","12.00","13","4","9","4","16.00","11.00","14.00","15.00","14.00","16.00","10.00","24.00","8.00","10.00","7.00","7.00"
"KpMero4_C_KPN_00050_0.97","6834","5758","4447.00","5083.00","1568","344","1127","596","1577","1638","3352.00","883.00","2886.00","3126.00","4015.00","2437.00","1781","281","3675","1094","5430.00","2757.00","4918.00","1226.00","3315.00","1534.00","2389.00","1679.00","1512.00","813.00","1964.00","974.00"
"KpMero4_C_KPN_00098_0.97","8953","5174","3886.00","4433.00","1601","312","1306","340","2097","2056","3501.00","843.00","2593.00","1917.00","4234.00","1967.00","2068","270","4423","643","6631.00","2187.00","5314.00","1002.00","3095.00","1969.00","2389.00","1741.00","1904.00","818.00","2216.00","620.00"
"KpMero4_C_KPN_00100_0.97","45189","37055","30797.00","35964.00","12422","3078","8658","3798","10240","13122","31485.00","7043.00","28661.00","31077.00","35109.00","13654.00","13341","2637","35667","6188","47368.00","23903.00","30135.00","7914.00","16869.00","14117.00","15471.00","11308.00","10661.00","5831.00","15658.00","6825.00"
"KpMero4_C_KPN_01276_0.92","5529","3509","2457.00","2556.00","967","306","752","393","864","843","2729.00","586.00","1878.00","1534.00","2398.00","987.00","1334","430","2441","643","4162.00","2414.00","2921.00","899.00","1803.00","1298.00","1461.00","849.00","941.00","592.00","1281.00","690.00"
"KpMero4_C_KPN_02846_0.95","6188","4210","2675.00","3498.00","1509","223","898","400","1523","1553","3275.00","802.00","2115.00","2028.00","2888.00","1160.00","1946","256","2360","826","5680.00","2223.00","3018.00","610.00","2426.00","1191.00","1569.00","880.00","1376.00","631.00","1581.00","691.00"
"KpMero4_C_KPN_03317_0.92","4928","3214","2088.00","1975.00","813","330","678","366","887","1092","2807.00","615.00","2417.00","1852.00","1943.00","985.00","940","264","2139","387","3905.00","1916.00","3046.00","924.00","1615.00","1260.00","1002.00","718.00","1151.00","577.00","1320.00","523.00"
"KpMero4_C_KPN_03634_0.92","2539","1255","2358.00","2295.00","603","168","529","174","632","679","1620.00","342.00","1925.00","1114.00","1776.00","826.00","698","184","2352","368","2716.00","988.00","2502.00","464.00","1343.00","680.00","925.00","590.00","609.00","286.00","730.00","240.00"
"KpMero4_C_KPN_04666_0.97","5223","4770","3551.00","4198.00","1136","239","769","313","1330","1046","2380.00","455.00","2725.00","3167.00","2574.00","1122.00","1422","316","2044","526","3867.00","2255.00","4139.00","950.00","2676.00","1922.00","1877.00","1239.00","1013.00","644.00","1156.00","546.00"
"KpMero4_R01up_KPN_01226_0.97","1632","22358","829.00","705.00","107","137","163","127","153","139","664.00","164.00","1077.00","11375.00","493.00","492.00","325","118","845","322","800.00","796.00","684.00","327.00","520.00","311.00","295.00","443.00","246.00","217.00","288.00","1540.00"
"KpMero4_R02up_KPN_01107_0.97","2405","9463","587.00","604.00","397","304","286","216","814","862","715.00","147.00","1117.00","8057.00","372.00","544.00","979","229","487","239","1061.00","1840.00","1303.00","862.00","811.00","1164.00","314.00","1024.00","339.00","885.00","266.00","683.00"
"KpMero4_R03up_KPN_02345_0.95","13068","25096","5568.00","5996.00","2419","1567","1340","1909","2109","1989","4791.00","958.00","3983.00","13040.00","4506.00","8061.00","5160","1880","3132","3714","7967.00","12489.00","5854.00","6004.00","4445.00","5934.00","2870.00","4001.00","1925.00","3712.00","2068.00","3250.00"
"KpMero4_R04up_KPN_02742_0.97","2619","10090","1530.00","1325.00","162","481","168","372","202","177","960.00","241.00","1674.00","13401.00","421.00","763.00","363","174","855","621","1731.00","2299.00","1055.00","974.00","331.00","1368.00","420.00","1446.00","186.00","1135.00","424.00","893.00"
"KpMero4_R05dn_KPN_02241_0.92","9798","1367","176.00","58.00","104","19","152","18","46","71","4822.00","1225.00","4266.00","515.00","35.00","21.00","53","10","92","42","4482.00","322.00","630.00","44.00","317.00","128.00","25.00","25.00","207.00","122.00","434.00","63.00"
"KpMero4_R06up_KPN_03358_0.92","7328","16833","788.00","685.00","578","443","568","477","992","664","1869.00","387.00","3153.00","7710.00","1240.00","1124.00","1008","236","1283","537","3405.00","3954.00","3694.00","1509.00","2419.00","1915.00","434.00","662.00","1948.00","2519.00","1159.00","1668.00"
"KpMero4_R07up_KPN_03934_0.92","20468","9732","5082.00","6600.00","2947","513","1829","421","3180","2679","5137.00","1146.00","6809.00","5737.00","6246.00","1291.00","2923","291","6610","808","10797.00","4149.00","9396.00","1735.00","5164.00","2322.00","4004.00","2377.00","2373.00","1524.00","4532.00","1147.00"
"KpMero4_R08dn_KPN_00868_0.92","20392","6543","1391.00","461.00","30","10","562","16","157","142","7213.00","1903.00","26895.00","14887.00","339.00","62.00","30","16","2502","94","10115.00","131.00","3517.00","74.00","2503.00","123.00","307.00","248.00","1219.00","115.00","2759.00","558.00"
"KpMero4_R09up_KPN_02342_0.97","2078","4401","826.00","792.00","233","274","209","198","480","317","660.00","182.00","872.00","2008.00","460.00","381.00","1813","344","435","104","1804.00","2252.00","1451.00","1079.00","917.00","1218.00","395.00","517.00","453.00","801.00","393.00","617.00"
"KpMero4_R10up_KPN_00833_0.97","4052","11115","1027.00","1147.00","371","281","724","600","587","500","852.00","199.00","1281.00","5196.00","3497.00","2284.00","1050","426","1069","1468","2235.00","2160.00","1656.00","985.00","1604.00","2074.00","757.00","1006.00","644.00","547.00","302.00","841.00"
